age,smoke,pop,dead
"40-44",1.no,656,18
"45-59",1.no,359,22
"50-54",1.no,249,19
"55-59",1.no,632,55
"60-64",1.no,1067,117
"65-69",1.no,897,170
"70-74",1.no,668,179
"75-79",1.no,361,120
"80+",1.no,274,120
"40-44",2.cigarPipeOnly,145,2
"45-59",2.cigarPipeOnly,104,4
"50-54",2.cigarPipeOnly,98,3
"55-59",2.cigarPipeOnly,372,38
"60-64",2.cigarPipeOnly,846,113
"65-69",2.cigarPipeOnly,949,173
"70-74",2.cigarPipeOnly,824,212
"75-79",2.cigarPipeOnly,667,243
"80+",2.cigarPipeOnly,537,253
"40-44",3.cigarrettePlus,4531,149
"45-59",3.cigarrettePlus,3030,169
"50-54",3.cigarrettePlus,2267,193
"55-59",3.cigarrettePlus,4682,576
"60-64",3.cigarrettePlus,6052,1001
"65-69",3.cigarrettePlus,3880,901
"70-74",3.cigarrettePlus,2033,613
"75-79",3.cigarrettePlus,871,337
"80+",3.cigarrettePlus,345,189
"40-44",4.cigarretteOnly,3410,124
"45-59",4.cigarretteOnly,2239,140
"50-54",4.cigarretteOnly,1851,187
"55-59",4.cigarretteOnly,3270,514
"60-64",4.cigarretteOnly,3791,778
"65-69",4.cigarretteOnly,2421,689
"70-74",4.cigarretteOnly,1195,432
"75-79",4.cigarretteOnly,436,214
"80+",4.cigarretteOnly,113,63
